
Loading weights:   0%|          | 0/439 [00:00<?, ?it/s]
stage2:   3%|▎         | 147/4218 [01:49<49:15,  1.38it/s]
stage2:   4%|▎         | 148/4218 [01:50<48:33,  1.40it/s]
stage2:   4%|▎         | 149/4218 [01:51<49:19,  1.37it/s]
stage2:   4%|▎         | 150/4218 [01:51<49:28,  1.37it/s]
stage2:   4%|▎         | 151/4218 [01:52<49:53,  1.36it/s]
stage2:   4%|▎         | 152/4218 [01:53<49:22,  1.37it/s]
stage2:   4%|▎         | 153/4218 [01:54<50:03,  1.35it/s]
stage2:   4%|▎         | 154/4218 [01:54<50:18,  1.35it/s]
stage2:   4%|▎         | 155/4218 [01:55<49:27,  1.37it/s]
stage2:   4%|▎         | 156/4218 [01:56<49:06,  1.38it/s]
stage2:   4%|▎         | 157/4218 [01:56<48:40,  1.39it/s]
stage2:   4%|▎         | 158/4218 [01:57<48:24,  1.40it/s]
stage2:   4%|▍         | 159/4218 [01:58<49:17,  1.37it/s]
stage2:   4%|▍         | 160/4218 [01:59<48:51,  1.38it/s]
stage2:   4%|▍         | 161/4218 [01:59<49:27,  1.37it/s]
stage2:   4%|▍         | 162/4218 [02:00<49:31,  1.37it/s]
stage2:   4%|▍         | 163/4218 [02:01<49:59,  1.35it/s]
stage2:   4%|▍         | 164/4218 [02:02<50:07,  1.35it/s]
stage2:   4%|▍         | 165/4218 [02:02<49:07,  1.38it/s]
stage2:   4%|▍         | 166/4218 [02:03<49:21,  1.37it/s]
stage2:   4%|▍         | 167/4218 [02:04<49:52,  1.35it/s]
stage2:   4%|▍         | 168/4218 [02:05<49:53,  1.35it/s]
stage2:   4%|▍         | 169/4218 [02:05<49:01,  1.38it/s]
stage2:   4%|▍         | 170/4218 [02:06<49:19,  1.37it/s]
stage2:   4%|▍         | 171/4218 [02:07<49:11,  1.37it/s]
stage2:   4%|▍         | 172/4218 [02:07<50:01,  1.35it/s]
stage2:   4%|▍         | 173/4218 [02:08<49:52,  1.35it/s]
stage2:   4%|▍         | 174/4218 [02:09<50:07,  1.34it/s]
stage2:   4%|▍         | 175/4218 [02:10<49:16,  1.37it/s]
stage2:   4%|▍         | 176/4218 [02:10<48:41,  1.38it/s]
stage2:   4%|▍         | 177/4218 [02:11<48:38,  1.38it/s]
stage2:   4%|▍         | 178/4218 [02:12<48:15,  1.40it/s]
stage2:   4%|▍         | 179/4218 [02:13<47:59,  1.40it/s]
stage2:   4%|▍         | 180/4218 [02:13<49:07,  1.37it/s]
stage2:   4%|▍         | 181/4218 [02:14<50:00,  1.35it/s]
stage2:   4%|▍         | 182/4218 [02:15<49:20,  1.36it/s]
stage2:   4%|▍         | 183/4218 [02:15<49:05,  1.37it/s]
stage2:   4%|▍         | 184/4218 [02:16<49:12,  1.37it/s]
stage2:   4%|▍         | 185/4218 [02:17<48:32,  1.38it/s]
stage2:   4%|▍         | 186/4218 [02:18<49:26,  1.36it/s]
stage2:   4%|▍         | 187/4218 [02:18<49:57,  1.34it/s]
stage2:   4%|▍         | 188/4218 [02:19<49:59,  1.34it/s]
stage2:   4%|▍         | 189/4218 [02:20<50:19,  1.33it/s]
stage2:   5%|▍         | 190/4218 [02:21<49:59,  1.34it/s]
stage2:   5%|▍         | 191/4218 [02:21<49:05,  1.37it/s]
stage2:   5%|▍         | 192/4218 [02:22<48:59,  1.37it/s]
stage2:   5%|▍         | 193/4218 [02:23<48:37,  1.38it/s]
stage2:   5%|▍         | 194/4218 [02:24<47:59,  1.40it/s]
stage2:   5%|▍         | 195/4218 [02:24<48:50,  1.37it/s]
stage2:   5%|▍         | 196/4218 [02:25<48:03,  1.39it/s]
stage2:   5%|▍         | 197/4218 [02:26<48:28,  1.38it/s]
stage2:   5%|▍         | 198/4218 [02:26<48:05,  1.39it/s]
stage2:   5%|▍         | 199/4218 [02:27<48:47,  1.37it/s]
stage2:   5%|▍         | 200/4218 [02:28<48:36,  1.38it/s]
stage2:   5%|▍         | 201/4218 [02:29<48:26,  1.38it/s]
stage2:   5%|▍         | 202/4218 [02:29<48:08,  1.39it/s]
stage2:   5%|▍         | 203/4218 [02:30<48:53,  1.37it/s]
stage2:   5%|▍         | 204/4218 [02:31<48:30,  1.38it/s]
stage2:   5%|▍         | 205/4218 [02:32<48:51,  1.37it/s]
stage2:   5%|▍         | 206/4218 [02:32<48:33,  1.38it/s]
stage2:   5%|▍         | 207/4218 [02:33<48:37,  1.37it/s]
stage2:   5%|▍         | 208/4218 [02:34<48:25,  1.38it/s]
stage2:   5%|▍         | 209/4218 [02:34<49:08,  1.36it/s]
stage2:   5%|▍         | 210/4218 [02:35<48:51,  1.37it/s]
stage2:   5%|▌         | 211/4218 [02:36<48:11,  1.39it/s]
stage2:   5%|▌         | 212/4218 [02:37<47:16,  1.41it/s]
stage2:   5%|▌         | 213/4218 [02:37<48:00,  1.39it/s]
stage2:   5%|▌         | 214/4218 [02:38<47:28,  1.41it/s]
stage2:   5%|▌         | 215/4218 [02:39<47:14,  1.41it/s]
stage2:   5%|▌         | 216/4218 [02:39<47:41,  1.40it/s]
stage2:   5%|▌         | 217/4218 [02:40<48:44,  1.37it/s]
stage2:   5%|▌         | 218/4218 [02:41<48:34,  1.37it/s]
stage2:   5%|▌         | 219/4218 [02:42<49:41,  1.34it/s]
stage2:   5%|▌         | 220/4218 [02:42<50:28,  1.32it/s]
stage2:   5%|▌         | 221/4218 [02:43<50:42,  1.31it/s]
stage2:   5%|▌         | 222/4218 [02:44<50:54,  1.31it/s]
stage2:   5%|▌         | 223/4218 [02:45<50:13,  1.33it/s]
stage2:   5%|▌         | 224/4218 [02:45<49:29,  1.35it/s]
stage2:   5%|▌         | 225/4218 [02:46<49:09,  1.35it/s]
stage2:   5%|▌         | 226/4218 [02:47<49:49,  1.34it/s]
stage2:   5%|▌         | 227/4218 [02:48<49:52,  1.33it/s]
stage2:   5%|▌         | 228/4218 [02:48<49:54,  1.33it/s]
stage2:   5%|▌         | 229/4218 [02:49<49:50,  1.33it/s]
stage2:   5%|▌         | 230/4218 [02:50<49:52,  1.33it/s]
stage2:   5%|▌         | 231/4218 [02:51<49:56,  1.33it/s]
stage2:   6%|▌         | 232/4218 [02:51<49:46,  1.33it/s]
stage2:   6%|▌         | 233/4218 [02:52<49:35,  1.34it/s]
stage2:   6%|▌         | 234/4218 [02:53<48:55,  1.36it/s]
stage2:   6%|▌         | 235/4218 [02:54<48:09,  1.38it/s]
stage2:   6%|▌         | 236/4218 [02:54<48:06,  1.38it/s]
stage2:   6%|▌         | 237/4218 [02:55<48:49,  1.36it/s]
stage2:   6%|▌         | 238/4218 [02:56<48:38,  1.36it/s]
stage2:   6%|▌         | 239/4218 [02:57<49:13,  1.35it/s]
stage2:   6%|▌         | 240/4218 [02:57<48:43,  1.36it/s]
stage2:   6%|▌         | 241/4218 [02:58<49:11,  1.35it/s]
stage2:   6%|▌         | 242/4218 [02:59<48:58,  1.35it/s]
stage2:   6%|▌         | 243/4218 [03:00<49:05,  1.35it/s]
stage2:   6%|▌         | 244/4218 [03:00<48:32,  1.36it/s]
stage2:   6%|▌         | 245/4218 [03:01<48:14,  1.37it/s]
stage2:   6%|▌         | 246/4218 [03:02<47:47,  1.39it/s]
stage2:   6%|▌         | 247/4218 [03:02<48:24,  1.37it/s]
stage2:   6%|▌         | 248/4218 [03:03<48:08,  1.37it/s]
stage2:   6%|▌         | 249/4218 [03:04<47:54,  1.38it/s]
stage2:   6%|▌         | 250/4218 [03:05<47:52,  1.38it/s]
stage2:   6%|▌         | 251/4218 [03:05<47:16,  1.40it/s]
stage2:   6%|▌         | 252/4218 [03:06<47:26,  1.39it/s]
stage2:   6%|▌         | 253/4218 [03:07<48:08,  1.37it/s]
stage2:   6%|▌         | 254/4218 [03:07<47:40,  1.39it/s]
stage2:   6%|▌         | 255/4218 [03:08<48:23,  1.37it/s]
stage2:   6%|▌         | 256/4218 [03:09<48:45,  1.35it/s]
stage2:   6%|▌         | 257/4218 [03:10<47:58,  1.38it/s]
stage2:   6%|▌         | 258/4218 [03:10<47:52,  1.38it/s]
stage2:   6%|▌         | 259/4218 [03:11<47:29,  1.39it/s]
stage2:   6%|▌         | 260/4218 [03:12<47:42,  1.38it/s]
stage2:   6%|▌         | 261/4218 [03:13<47:27,  1.39it/s]
stage2:   6%|▌         | 262/4218 [03:13<47:19,  1.39it/s]
stage2:   6%|▌         | 263/4218 [03:14<47:04,  1.40it/s]
stage2:   6%|▋         | 264/4218 [03:15<47:20,  1.39it/s]
stage2:   6%|▋         | 265/4218 [03:15<47:19,  1.39it/s]
stage2:   6%|▋         | 266/4218 [03:16<47:45,  1.38it/s]
stage2:   6%|▋         | 267/4218 [03:17<47:06,  1.40it/s]
stage2:   6%|▋         | 268/4218 [03:18<48:06,  1.37it/s]
stage2:   6%|▋         | 269/4218 [03:18<48:03,  1.37it/s]
stage2:   6%|▋         | 270/4218 [03:19<48:03,  1.37it/s]
stage2:   6%|▋         | 271/4218 [03:20<47:51,  1.37it/s]
stage2:   6%|▋         | 272/4218 [03:21<47:42,  1.38it/s]
stage2:   6%|▋         | 273/4218 [03:21<47:44,  1.38it/s]
stage2:   6%|▋         | 274/4218 [03:22<47:35,  1.38it/s]
stage2:   7%|▋         | 275/4218 [03:23<47:41,  1.38it/s]
stage2:   7%|▋         | 276/4218 [03:23<48:28,  1.36it/s]
stage2:   7%|▋         | 277/4218 [03:24<48:07,  1.36it/s]
stage2:   7%|▋         | 278/4218 [03:25<48:24,  1.36it/s]
stage2:   7%|▋         | 279/4218 [03:26<47:53,  1.37it/s]
stage2:   7%|▋         | 280/4218 [03:26<48:32,  1.35it/s]
stage2:   7%|▋         | 281/4218 [03:27<48:06,  1.36it/s]
stage2:   7%|▋         | 282/4218 [03:28<48:42,  1.35it/s]
stage2:   7%|▋         | 283/4218 [03:29<49:23,  1.33it/s]
stage2:   7%|▋         | 284/4218 [03:29<48:55,  1.34it/s]
stage2:   7%|▋         | 285/4218 [03:30<49:08,  1.33it/s]
stage2:   7%|▋         | 286/4218 [03:31<48:20,  1.36it/s]
stage2:   7%|▋         | 287/4218 [03:32<48:48,  1.34it/s]
stage2:   7%|▋         | 288/4218 [03:32<48:56,  1.34it/s]
stage2:   7%|▋         | 289/4218 [03:33<48:08,  1.36it/s]
stage2:   7%|▋         | 290/4218 [03:34<47:35,  1.38it/s]
stage2:   7%|▋         | 291/4218 [03:35<48:00,  1.36it/s]
stage2:   7%|▋         | 292/4218 [03:35<48:36,  1.35it/s]
stage2:   7%|▋         | 293/4218 [03:36<48:21,  1.35it/s]
stage2:   7%|▋         | 294/4218 [03:37<47:46,  1.37it/s]
stage2:   7%|▋         | 295/4218 [03:38<48:27,  1.35it/s]
stage2:   7%|▋         | 296/4218 [03:38<48:42,  1.34it/s]
stage2:   7%|▋         | 297/4218 [03:39<48:04,  1.36it/s]
stage2:   7%|▋         | 298/4218 [03:40<48:05,  1.36it/s]
stage2:   7%|▋         | 299/4218 [03:40<46:59,  1.39it/s]
stage2:   7%|▋         | 300/4218 [03:41<47:01,  1.39it/s]
stage2:   7%|▋         | 301/4218 [03:42<47:16,  1.38it/s]
stage2:   7%|▋         | 302/4218 [03:43<47:17,  1.38it/s]
stage2:   7%|▋         | 303/4218 [03:43<47:34,  1.37it/s]
stage2:   7%|▋         | 304/4218 [03:44<47:59,  1.36it/s]
stage2:   7%|▋         | 305/4218 [03:45<47:33,  1.37it/s]
stage2:   7%|▋         | 306/4218 [03:46<47:42,  1.37it/s]
stage2:   7%|▋         | 307/4218 [03:46<47:45,  1.36it/s]
stage2:   7%|▋         | 308/4218 [03:47<47:24,  1.37it/s]
stage2:   7%|▋         | 309/4218 [03:48<47:11,  1.38it/s]
stage2:   7%|▋         | 310/4218 [03:48<47:13,  1.38it/s]
stage2:   7%|▋         | 311/4218 [03:49<46:46,  1.39it/s]
stage2:   7%|▋         | 312/4218 [03:50<46:52,  1.39it/s]
stage2:   7%|▋         | 313/4218 [03:51<47:07,  1.38it/s]
stage2:   7%|▋         | 314/4218 [03:51<46:43,  1.39it/s]
stage2:   7%|▋         | 315/4218 [03:52<47:00,  1.38it/s]
stage2:   7%|▋         | 316/4218 [03:53<47:43,  1.36it/s]
stage2:   8%|▊         | 317/4218 [03:54<47:04,  1.38it/s]
