
Loading weights:   0%|          | 0/439 [00:00<?, ?it/s]
feature_stats:   2%|▏         | 129/8435 [00:39<42:17,  3.27it/s]
feature_stats:   2%|▏         | 130/8435 [00:40<42:22,  3.27it/s]
feature_stats:   2%|▏         | 131/8435 [00:40<42:08,  3.28it/s]
feature_stats:   2%|▏         | 132/8435 [00:40<42:13,  3.28it/s]
feature_stats:   2%|▏         | 133/8435 [00:41<42:00,  3.29it/s]
feature_stats:   2%|▏         | 134/8435 [00:41<42:11,  3.28it/s]
feature_stats:   2%|▏         | 135/8435 [00:41<42:12,  3.28it/s]
feature_stats:   2%|▏         | 136/8435 [00:41<42:00,  3.29it/s]
feature_stats:   2%|▏         | 137/8435 [00:42<42:12,  3.28it/s]
feature_stats:   2%|▏         | 138/8435 [00:42<42:24,  3.26it/s]
feature_stats:   2%|▏         | 139/8435 [00:42<43:02,  3.21it/s]
feature_stats:   2%|▏         | 140/8435 [00:43<43:07,  3.21it/s]
feature_stats:   2%|▏         | 141/8435 [00:43<43:01,  3.21it/s]
feature_stats:   2%|▏         | 142/8435 [00:43<42:39,  3.24it/s]
feature_stats:   2%|▏         | 143/8435 [00:44<42:54,  3.22it/s]
feature_stats:   2%|▏         | 144/8435 [00:44<43:17,  3.19it/s]
feature_stats:   2%|▏         | 145/8435 [00:44<42:42,  3.24it/s]
feature_stats:   2%|▏         | 146/8435 [00:45<42:31,  3.25it/s]
feature_stats:   2%|▏         | 147/8435 [00:45<42:16,  3.27it/s]
feature_stats:   2%|▏         | 148/8435 [00:45<42:07,  3.28it/s]
feature_stats:   2%|▏         | 149/8435 [00:45<42:09,  3.28it/s]
feature_stats:   2%|▏         | 150/8435 [00:46<42:04,  3.28it/s]
feature_stats:   2%|▏         | 151/8435 [00:46<41:45,  3.31it/s]
feature_stats:   2%|▏         | 152/8435 [00:46<41:46,  3.30it/s]
feature_stats:   2%|▏         | 153/8435 [00:47<42:01,  3.28it/s]
feature_stats:   2%|▏         | 154/8435 [00:47<42:00,  3.29it/s]
feature_stats:   2%|▏         | 155/8435 [00:47<42:03,  3.28it/s]
feature_stats:   2%|▏         | 156/8435 [00:48<42:15,  3.27it/s]
feature_stats:   2%|▏         | 157/8435 [00:48<42:02,  3.28it/s]
feature_stats:   2%|▏         | 158/8435 [00:48<41:54,  3.29it/s]
feature_stats:   2%|▏         | 159/8435 [00:49<42:12,  3.27it/s]
feature_stats:   2%|▏         | 160/8435 [00:49<42:10,  3.27it/s]
feature_stats:   2%|▏         | 161/8435 [00:49<42:00,  3.28it/s]
feature_stats:   2%|▏         | 162/8435 [00:49<42:20,  3.26it/s]
feature_stats:   2%|▏         | 163/8435 [00:50<42:13,  3.27it/s]
feature_stats:   2%|▏         | 164/8435 [00:50<42:47,  3.22it/s]
feature_stats:   2%|▏         | 165/8435 [00:50<42:50,  3.22it/s]
feature_stats:   2%|▏         | 166/8435 [00:51<42:27,  3.25it/s]
feature_stats:   2%|▏         | 167/8435 [00:51<42:18,  3.26it/s]
feature_stats:   2%|▏         | 168/8435 [00:51<42:47,  3.22it/s]
feature_stats:   2%|▏         | 169/8435 [00:52<42:37,  3.23it/s]
feature_stats:   2%|▏         | 170/8435 [00:52<42:29,  3.24it/s]
